Cluster,Phase,Role,Capacity Consumption,,
3,UAT,Testing Lead,0.5,,
3,UAT,Functional Lead,1,,
3,UAT,Trainers,1,,
3,Training,Change Management Lead,1,,
3,Training,Trainers,1,,
3,DIALT,Solution Architect,0.5,,
3,DIALT,Change Management Lead,1,,
3,DIALT,Azure Lead,0.75,,
3,DIALT,Azure Specialist,0.75,,
3,DIALT,Functional Lead,1,,
3,DIALT,Trainers,1,,
3,DIALT,Functional Lead Vendor A,1,,
3,Go Live,Solution Architect,1,,
3,Go Live,Change Management Lead,1,,
3,Go Live,SAP Integrations Lead,1,,
3,Go Live,SAP Integrations Specialist,1,,
3,Go Live,Azure Lead,1,,
3,Go Live,Azure Specialist,1,,
3,Go Live,Functional Lead,1,,
3,Go Live,Trainers,1,,
3,Go Live,Infrastructure Lead,1,,
3,Go Live,Functional Lead Vendor A,1,,
3,Hypercare,Solution Architect,0.5,,
3,Hypercare,Change Management Lead,1,,
3,Hypercare,SAP Integrations Lead,0.5,,
3,Hypercare,SAP Integrations Specialist,0.5,,
3,Hypercare,Azure Lead,0.5,,
3,Hypercare,Azure Specialist,0.5,,
3,Hypercare,Functional Lead,1,,
3,Hypercare,Functional Lead,1,,
3,Hypercare,Trainers,1,,
3,Hypercare,Trainers,1,,
3,Hypercare,Trainers,1,,
3,Hypercare,Infrastructure Lead,1,,
3,Hypercare,Functional Lead Vendor A,0.5,,
